ID,Treatment,Gradient,Pop,Population,Genotype,EarlyGrowth,Specific_Leaf_Area (SLA),Stomata,Flowering,Growth,Runnering,Elevation,Nheight,Slope,North_to_South
AT08_07,Normal,Sourroque,AT,Ates,AT08,3.593,52.514,20,0.565,4.46,2.915,750,0.422,13.803,6.34
G09_12,Wet,Grave,G,Grave,G09,4.041,49.14,31,0,7.565,2.908,1471,0.075,8.946,3.576
G07_10,Normal,Grave,G,Grave,G07,4.123,45.165,24,1.234,5.509,2.904,1471,0.075,8.946,3.576
G06_05,Dry,Grave,G,Grave,G06,3.793,42.077,22,0.83,1.738,2.877,1471,0.075,8.946,3.576
F09_13,Wet,Grave,F,Freaux,F09,3.39,45.5,21,2.249,7.312,2.872,1409,0.194,29.362,9.545
AT17_10,Normal,Sourroque,AT,Ates,AT17,3.325,52.964,20,2.409,5.24,2.863,750,0.422,13.803,6.34
SQ01_05,Dry,Sourroque,SQ,Sourroque,SQ01,3.589,52.011,26,2.616,1.752,2.854,927,0.236,23.743,33.158
AT14_10,Normal,Sourroque,AT,Ates,AT14,3.276,64.084,26,1.1,4.209,2.851,750,0.422,13.803,6.34
ML05_15,Wet,Montoulieu,ML,Montoulieu,ML05,2.911,64.396,23,2.492,7.735,2.844,466,0.126,21.386,82.073
F09_05,Dry,Grave,F,Freaux,F09,3.4,47.207,20,0.232,1.768,2.828,1409,0.194,29.362,9.545
F02_08,Normal,Grave,F,Freaux,F02,3.192,53.739,20,1.897,3.183,2.828,1409,0.194,29.362,9.545
